Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1595251930817,20/07/2020 13:32:10,1595251930666,-4,20/07/2020 09:32:10,21654,3,questionnaire-t1fh,,6161704,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,BEGIN QUESTIONNAIRE,
2,1595251945848,20/07/2020 13:32:25,1595251945808,-4,20/07/2020 09:32:25,21654,3,questionnaire-t1fh,,6161704,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,consent,Yes
3,1595251945957,20/07/2020 13:32:25,1595251945810,-4,20/07/2020 09:32:25,21654,3,questionnaire-t1fh,,6161704,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,consent-quantised,1
4,1595251945957,20/07/2020 13:32:25,1595251945810,-4,20/07/2020 09:32:25,21654,3,questionnaire-t1fh,,6161704,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,END QUESTIONNAIRE,15144
1,1595252072080,20/07/2020 13:34:32,1595252071829,-4,20/07/2020 09:34:31,21654,3,questionnaire-t1fh,,6161729,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1536x762,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595252101425,20/07/2020 13:35:01,1595252101312,-4,20/07/2020 09:35:01,21654,3,questionnaire-t1fh,,6161729,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
3,1595252101581,20/07/2020 13:35:01,1595252101314,-4,20/07/2020 09:35:01,21654,3,questionnaire-t1fh,,6161729,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent-quantised,1
4,1595252101581,20/07/2020 13:35:01,1595252101314,-4,20/07/2020 09:35:01,21654,3,questionnaire-t1fh,,6161729,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,END QUESTIONNAIRE,29485
1,1595252155872,20/07/2020 13:35:55,1595252152944,-4,20/07/2020 09:35:52,21654,3,questionnaire-t1fh,,6161758,5eb5862f5fb0f20ba59cc348,1737027,,complete,,5f159d8d8cb3ae66b615a702,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1091x933,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595252162351,20/07/2020 13:36:02,1595252159412,-4,20/07/2020 09:35:59,21654,3,questionnaire-t1fh,,6161758,5eb5862f5fb0f20ba59cc348,1737027,,complete,,5f159d8d8cb3ae66b615a702,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1091x933,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
