Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1,1593628601452,01/07/2020 18:36:41,1593628601275,-5,01/07/2020 13:36:41,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1593628602972,01/07/2020 18:36:42,1593628602861,-5,01/07/2020 13:36:42,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,1,1,1,Screen 1,advancementZone,continue_button,1477.5149999986752,,,,,0,1,0,,,,,,Welcome,,,,,,,,,,,
3,1593628622602,01/07/2020 18:37:02,1593628622480,-5,01/07/2020 13:37:02,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,2,1,1,Screen 1,advancementZone,continue_button,19585.144999997283,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
4,1593628638187,01/07/2020 18:37:18,1593628638066,-5,01/07/2020 13:37:18,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,2,1,2,Screen 2,Zone1,continue_button,15569.189999994705,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
5,1593628640068,01/07/2020 18:37:20,1593628639950,-5,01/07/2020 13:37:19,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,23,1,1,stimulus,Zone1,content_audio,1855.3699999974924,,,,,0,1,0,,,,,1,Trial,,1,k,t,questionnaire_tan_can_004.mp3,questionnaire,tan,can,4,-2,t-k
6,1593628646071,01/07/2020 18:37:26,1593628645941,-5,01/07/2020 13:37:25,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,23,1,2,response,Zone1,timelimit_screen,6000.119999999995,,,,,0,1,0,,,1,,1,Trial,,1,k,t,questionnaire_tan_can_004.mp3,questionnaire,tan,can,4,-2,t-k
7,1593628647055,01/07/2020 18:37:27,1593628646939,-5,01/07/2020 13:37:26,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,23,1,3,Screen 1,fixation,fixation,1000.0200000000041,,,,,0,1,0,,,,,1,Trial,,1,k,t,questionnaire_tan_can_004.mp3,questionnaire,tan,can,4,-2,t-k
8,1593628648822,01/07/2020 18:37:28,1593628648703,-5,01/07/2020 13:37:28,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,42,2,1,stimulus,Zone1,content_audio,1742.7450000031968,,,,,0,1,0,,,,,1,Trial,,1,k,t,dangerous_tape_cape_009.mp3,dangerous,tape,cape,9,2,t-k
9,1593628654803,01/07/2020 18:37:34,1593628654690,-5,01/07/2020 13:37:34,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,42,2,2,response,Zone1,timelimit_screen,6000.120000000003,,,,,0,1,0,,,1,,1,Trial,,1,k,t,dangerous_tape_cape_009.mp3,dangerous,tape,cape,9,2,t-k
10,1593628655806,01/07/2020 18:37:35,1593628655689,-5,01/07/2020 13:37:35,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,42,2,3,Screen 1,fixation,fixation,1000.0199999999968,,,,,0,1,0,,,,,1,Trial,,1,k,t,dangerous_tape_cape_009.mp3,dangerous,tape,cape,9,2,t-k
