Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1,1593629632966,01/07/2020 18:53:52,1593629632853,-4,01/07/2020 14:53:52,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1593629634505,01/07/2020 18:53:54,1593629634441,-4,01/07/2020 14:53:54,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,1,1,1,Screen 1,advancementZone,continue_button,1554,,,,,0,1,0,,,,,,Welcome,,,,,,,,,,,
3,1593629650034,01/07/2020 18:54:10,1593629649988,-4,01/07/2020 14:54:09,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,2,1,1,Screen 1,advancementZone,continue_button,15530,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
4,1593629665535,01/07/2020 18:54:25,1593629665477,-4,01/07/2020 14:54:25,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,2,1,2,Screen 2,Zone1,continue_button,15477,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
5,1593629667568,01/07/2020 18:54:27,1593629667476,-4,01/07/2020 14:54:27,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,91,1,1,stimulus,fixation,fixation,2001,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_deer_gear_006.mp3,universe,deer,gear,6,1,d-g
6,1593629670193,01/07/2020 18:54:30,1593629670146,-4,01/07/2020 14:54:30,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,91,1,2,response,Zone3,response_keyboard_single,2660,,,G sound,1,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_deer_gear_006.mp3,universe,deer,gear,6,1,d-g
7,1593629671193,01/07/2020 18:54:31,1593629671140,-4,01/07/2020 14:54:31,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,91,1,3,Screen 1,fixation,fixation,1001,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_deer_gear_006.mp3,universe,deer,gear,6,1,d-g
8,1593629673195,01/07/2020 18:54:33,1593629673129,-4,01/07/2020 14:54:33,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,29,2,1,stimulus,Zone1,content_audio,1972,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_dale_gale_005.mp3,universe,dale,gale,5,-1,d-g
9,1593629674205,01/07/2020 18:54:34,1593629674157,-4,01/07/2020 14:54:34,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,29,2,2,response,Zone2,response_keyboard_single,1021.0000000000073,,,D sound,1,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_dale_gale_005.mp3,universe,dale,gale,5,-1,d-g
10,1593629675195,01/07/2020 18:54:35,1593629675142,-4,01/07/2020 14:54:35,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,29,2,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,universe_dale_gale_005.mp3,universe,dale,gale,5,-1,d-g
11,1593629676976,01/07/2020 18:54:36,1593629676937,-4,01/07/2020 14:54:36,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,69,3,1,stimulus,Zone1,content_audio,1778.9999999999927,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,dangerous_deer_gear_004.mp3,dangerous,deer,gear,4,-1,d-g
12,1593629677478,01/07/2020 18:54:37,1593629677403,-4,01/07/2020 14:54:37,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,69,3,2,response,Zone2,response_keyboard_single,458,,,D sound,1,0,1,0,,,,,1,Trial,,1,D sound,G sound,dangerous_deer_gear_004.mp3,dangerous,deer,gear,4,-1,d-g
13,1593629678463,01/07/2020 18:54:38,1593629678393,-4,01/07/2020 14:54:38,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,69,3,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,dangerous_deer_gear_004.mp3,dangerous,deer,gear,4,-1,d-g
14,1593629680323,01/07/2020 18:54:40,1593629680281,-4,01/07/2020 14:54:40,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,17,4,1,stimulus,Zone1,content_audio,1872,,,,,0,1,0,,,,,1,Trial,,1,D sound,G sound,demolish_dale_gale_008.mp3,demolish,dale,gale,8,2,d-g
15,1593629681387,01/07/2020 18:54:41,1593629681332,-4,01/07/2020 14:54:41,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,17,4,2,response,Zone3,response_keyboard_single,1043.9999999999927,,,G sound,1,0,1,0,,,,,1,Trial,,1,D sound,G sound,demolish_dale_gale_008.mp3,demolish,dale,gale,8,2,d-g
