Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1,1593629581669,01/07/2020 18:53:01,1593629580869,-4,01/07/2020 14:53:00,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1593629583001,01/07/2020 18:53:03,1593629582259,-4,01/07/2020 14:53:02,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,1,1,1,Screen 1,advancementZone,continue_button,1346.4899999962654,,,,,0,1,0,,,,,,Welcome,,,,,,,,,,,
3,1593629630028,01/07/2020 18:53:50,1593629629262,-4,01/07/2020 14:53:49,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,2,1,1,Screen 1,advancementZone,continue_button,46988.30500000622,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
4,1593629648502,01/07/2020 18:54:08,1593629647754,-4,01/07/2020 14:54:07,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,2,1,2,Screen 2,Zone1,continue_button,18466.634999989765,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
5,1593629650519,01/07/2020 18:54:10,1593629649747,-4,01/07/2020 14:54:09,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,99,1,1,stimulus,fixation,fixation,2000.2839999999997,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sip_ship_005.mp3,isolate,sip,ship,5,-1,s-sh
6,1593629652974,01/07/2020 18:54:12,1593629652226,-4,01/07/2020 14:54:12,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,99,1,2,response,Zone3,response_keyboard_single,2471.354999986943,,,s,1,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sip_ship_005.mp3,isolate,sip,ship,5,-1,s-sh
7,1593629653964,01/07/2020 18:54:13,1593629653213,-4,01/07/2020 14:54:13,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,99,1,3,Screen 1,fixation,fixation,999.8399999999965,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sip_ship_005.mp3,isolate,sip,ship,5,-1,s-sh
8,1593629655933,01/07/2020 18:54:15,1593629655195,-4,01/07/2020 14:54:15,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,62,2,1,stimulus,Zone1,content_audio,1966.840000008233,,,,,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sell_shell_010.mp3,questionnaire,sell,shell,10,2,s-sh
9,1593629656605,01/07/2020 18:54:16,1593629655866,-4,01/07/2020 14:54:15,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,62,2,2,response,Zone2,response_keyboard_single,665.0599999993574,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sell_shell_010.mp3,questionnaire,sell,shell,10,2,s-sh
10,1593629657605,01/07/2020 18:54:17,1593629656862,-4,01/07/2020 14:54:16,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,62,2,3,Screen 1,fixation,fixation,999.9909999999945,,,,,0,1,0,,,,,1,Trial,,1,sh,s,questionnaire_sell_shell_010.mp3,questionnaire,sell,shell,10,2,s-sh
