Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593628580165,01/07/2020 18:36:20,1593628580034,-5,01/07/2020 13:36:20,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593628598643,01/07/2020 18:36:38,1593628598513,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-3,Midwestern
3,1593628598799,01/07/2020 18:36:38,1593628598516,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-text,
4,1593628598799,01/07/2020 18:36:38,1593628598516,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-sex-1,Female
5,1593628598799,01/07/2020 18:36:38,1593628598516,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-ethnicity-2,Not Hispanic or Latino
6,1593628598799,01/07/2020 18:36:38,1593628598516,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-race-5,White
7,1593628598799,01/07/2020 18:36:38,1593628598516,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-handedness,Right-handed
8,1593628598799,01/07/2020 18:36:38,1593628598517,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-handedness-quantised,1
9,1593628598799,01/07/2020 18:36:38,1593628598517,-5,01/07/2020 13:36:38,21059,6,questionnaire-d7os,,5859614,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,18484
1,1593629552981,01/07/2020 18:52:32,1593629552166,-4,01/07/2020 14:52:32,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593629579595,01/07/2020 18:52:59,1593629578825,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-3,Midwestern
3,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-text,
4,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-sex-1,Female
5,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-ethnicity-2,Not Hispanic or Latino
6,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-5,White
7,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness,Right-handed
8,1593629579734,01/07/2020 18:52:59,1593629578826,-4,01/07/2020 14:52:58,21059,6,questionnaire-d7os,,5859768,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness-quantised,1
