Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1592673087500,20/06/2020 17:11:27,1592673087350,-5,20/06/2020 12:11:27,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592673089967,20/06/2020 17:11:29,1592673089886,-5,20/06/2020 12:11:29,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,1,1,1,Screen 1,advancementZone,continue_button,2476.7850000644103,,,,,0,1,0,,,,,,Welcome,,,,,
3,1592673105686,20/06/2020 17:11:45,1592673105616,-5,20/06/2020 12:11:45,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,2,1,1,Screen 1,advancementZone,continue_button,15711.684999987483,,,,,0,1,0,,,,,,Instructions,,,,,
4,1592673120458,20/06/2020 17:12:00,1592673120369,-5,20/06/2020 12:12:00,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,2,1,2,Screen 2,Zone1,continue_button,14737.435000017285,,,,,0,1,0,,,,,,Instructions,,,,,
5,1592673121259,20/06/2020 17:12:01,1592673121179,-5,20/06/2020 12:12:01,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,19,1,1,stimulus,Zone1,content_audio,786.5799999563023,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
6,1592673127250,20/06/2020 17:12:07,1592673127176,-5,20/06/2020 12:12:07,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,19,1,2,response,Zone1,timelimit_screen,5999.759999999995,,,,,0,1,0,,,1,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
7,1592673128237,20/06/2020 17:12:08,1592673128174,-5,20/06/2020 12:12:08,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,19,1,3,Screen 1,fixation,fixation,999.9599999999991,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
8,1592673129023,20/06/2020 17:12:09,1592673128957,-5,20/06/2020 12:12:08,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,111,2,1,stimulus,Zone1,content_audio,763.4550000075251,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_nightingale_nightingare_002.mp3
9,1592673132560,20/06/2020 17:12:12,1592673132489,-5,20/06/2020 12:12:12,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,111,2,2,response,Zone3,response_keyboard_single,3522.675000014715,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_nightingale_nightingare_002.mp3
10,1592673133551,20/06/2020 17:12:13,1592673133483,-5,20/06/2020 12:12:13,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,111,2,3,Screen 1,fixation,fixation,999.9599999999991,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_nightingale_nightingare_002.mp3
