Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1592668699424,20/06/2020 15:58:19,1592668698977,-4,20/06/2020 11:58:18,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592668700676,20/06/2020 15:58:20,1592668700237,-4,20/06/2020 11:58:20,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,1,1,1,Screen 1,advancementZone,continue_button,1210.8949999674223,,,,,0,1,0,,,,,,Welcome,,,,,
3,1592668709695,20/06/2020 15:58:29,1592668709284,-4,20/06/2020 11:58:29,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,2,1,1,Screen 1,advancementZone,continue_button,9031.430000031833,,,,,0,1,0,,,,,,Instructions,,,,,
4,1592668737178,20/06/2020 15:58:57,1592668736767,-4,20/06/2020 11:58:56,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,2,1,2,Screen 2,Zone1,continue_button,27473.78999995999,,,,,0,1,0,,,,,,Instructions,,,,,
5,1592668738180,20/06/2020 15:58:58,1592668737762,-4,20/06/2020 11:58:57,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,121,1,1,stimulus,fixation,fixation,1001.0069999999978,,,,,0,1,0,,,,,1,Trial,,1,SH,S,religious_religish_007.mp3
6,1592668741196,20/06/2020 15:59:01,1592668740680,-4,20/06/2020 11:59:00,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,121,1,2,response,Zone2,response_keyboard_single,2909.749999991618,,,SH,1,0,1,0,,,,,1,Trial,,1,SH,S,religious_religish_007.mp3
7,1592668742104,20/06/2020 15:59:02,1592668741677,-4,20/06/2020 11:59:01,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,121,1,3,Screen 1,fixation,fixation,1000.9650000000038,,,,,0,1,0,,,,,1,Trial,,1,SH,S,religious_religish_007.mp3
8,1592668743091,20/06/2020 15:59:03,1592668742678,-4,20/06/2020 11:59:02,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,130,2,1,stimulus,fixation,fixation,1001.0619999999981,,,,,0,1,0,,,,,1,Trial,,1,SH,S,universe_universh_002.mp3
9,1592668744559,20/06/2020 15:59:04,1592668744146,-4,20/06/2020 11:59:04,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,130,2,2,response,Zone3,response_keyboard_single,1461.8899999768473,,,S,1,0,1,0,,,,,1,Trial,,1,SH,S,universe_universh_002.mp3
10,1592668745558,20/06/2020 15:59:05,1592668745145,-4,20/06/2020 11:59:05,20280,9,task-3859,,5715837,5ecdc5dbb53e7d13adad9d7e,1595959,,complete,,5eee318205c6952ab7f28aa8,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order3,w_nw_order3,130,2,3,Screen 1,fixation,fixation,1001.1399999999994,,,,,0,1,0,,,,,1,Trial,,1,SH,S,universe_universh_002.mp3
