Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1592668627270,20/06/2020 15:57:07,1592668627138,-4,20/06/2020 11:57:07,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592668628489,20/06/2020 15:57:08,1592668628420,-4,20/06/2020 11:57:08,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,1,1,1,Screen 1,advancementZone,continue_button,1207.8399999882095,,,,,0,1,0,,,,,,Welcome,,,,,
3,1592668643281,20/06/2020 15:57:23,1592668643150,-4,20/06/2020 11:57:23,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,2,1,1,Screen 1,advancementZone,continue_button,14705.950000003213,,,,,0,1,0,,,,,,Instructions,,,,,
4,1592668655696,20/06/2020 15:57:35,1592668655632,-4,20/06/2020 11:57:35,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,2,1,2,Screen 2,Zone1,continue_button,12460.519999993267,,,,,0,1,0,,,,,,Instructions,,,,,
5,1592668656689,20/06/2020 15:57:36,1592668656621,-4,20/06/2020 11:57:36,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,19,1,1,stimulus,fixation,fixation,1000.0200000000004,,,,,0,1,0,,,,,1,Trial,,1,D,G,nonword_analogue_analod_010.mp3
6,1592668661193,20/06/2020 15:57:41,1592668661132,-4,20/06/2020 11:57:41,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,19,1,2,response,Zone3,response_keyboard_single,4493.775000009919,,,G,1,0,1,0,,,,,1,Trial,,1,D,G,nonword_analogue_analod_010.mp3
7,1592668662180,20/06/2020 15:57:42,1592668662120,-4,20/06/2020 11:57:42,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,19,1,3,Screen 1,fixation,fixation,1000.0199999999968,,,,,0,1,0,,,,,1,Trial,,1,D,G,nonword_analogue_analod_010.mp3
8,1592668662836,20/06/2020 15:57:42,1592668662765,-4,20/06/2020 11:57:42,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,38,2,1,stimulus,Zone1,content_audio,622.9100000055041,,,,,0,1,0,,,,,1,Trial,,1,D,G,nonword_catalogue_catalod_010.mp3
9,1592668668387,20/06/2020 15:57:48,1592668668321,-4,20/06/2020 11:57:48,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,38,2,2,response,Zone2,response_keyboard_single,5545.624999998836,,,D,1,0,1,0,,,,,1,Trial,,1,D,G,nonword_catalogue_catalod_010.mp3
10,1592668669359,20/06/2020 15:57:49,1592668669305,-4,20/06/2020 11:57:49,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,38,2,3,Screen 1,fixation,fixation,1000.0199999999968,,,,,0,1,0,,,,,1,Trial,,1,D,G,nonword_catalogue_catalod_010.mp3
