Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1592570894110,19/06/2020 12:48:14,1592570893983,-4,19/06/2020 08:48:13,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,BEGIN QUESTIONNAIRE,
2,1592570911188,19/06/2020 12:48:31,1592570911091,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-accent-other,Other (please specify)
3,1592570911312,19/06/2020 12:48:31,1592570911092,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-accent-text,New Jersey
4,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-sex-1,Female
5,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-ethnicity-2,Not Hispanic or Latino
6,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-race-5,White
7,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-handedness,Right-handed
8,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,response-handedness-quantised,1
9,1592570911312,19/06/2020 12:48:31,1592570911093,-4,19/06/2020 08:48:31,20280,8,questionnaire-d7os,,5702300,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,w_nw_order4,END QUESTIONNAIRE,17110
1,1592572120190,19/06/2020 13:08:40,1592572125531,-4,19/06/2020 09:08:45,20280,8,questionnaire-d7os,,5702737,5e95f5acbc10f705f132c60b,1591852,,complete,,5eecb8451199ca06ef6402d7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1280x578,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,nw_nw_order2,BEGIN QUESTIONNAIRE,
