Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1589575343324,15/05/2020 20:42:23,1589575343215,-4,15/05/2020 16:42:23,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,
2,1589575344669,15/05/2020 20:42:24,1589575344619,-4,15/05/2020 16:42:24,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,1,1,1,Screen 1,advancementZone,continue_button,1345.274999999674,,,,0,1,0,,,,,,Welcome,,,,,
3,1589575346028,15/05/2020 20:42:26,1589575345956,-4,15/05/2020 16:42:25,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,2,1,1,Screen 1,advancementZone,continue_button,1310.9350000013364,,,,0,1,0,,,,,,Instructions,,,,,
4,1589575346747,15/05/2020 20:42:26,1589575346661,-4,15/05/2020 16:42:26,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,115,1,1,stimulus,Zone1,content_audio,680.7899999985239,,,,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_004.mp3
5,1589575350701,15/05/2020 20:42:30,1589575350656,-4,15/05/2020 16:42:30,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,115,1,2,response,Zone2,response_keyboard_single,3981.980000000476,,D,1,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_004.mp3
6,1589575351701,15/05/2020 20:42:31,1589575351637,-4,15/05/2020 16:42:31,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,115,1,3,Screen 1,fixation,fixation,999.9599999999991,,,,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_004.mp3
7,1589575352374,15/05/2020 20:42:32,1589575352336,-4,15/05/2020 16:42:32,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,141,2,1,stimulus,Zone1,content_audio,679.9949999985984,,,,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_008.mp3
8,1589575354326,15/05/2020 20:42:34,1589575354218,-4,15/05/2020 16:42:34,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,141,2,2,response,Zone3,response_keyboard_single,1872.8049999990617,,G,1,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_008.mp3
9,1589575355311,15/05/2020 20:42:35,1589575355204,-4,15/05/2020 16:42:35,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,141,2,3,Screen 1,fixation,fixation,999.960000000001,,,,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_008.mp3
10,1589575355920,15/05/2020 20:42:35,1589575355877,-4,15/05/2020 16:42:35,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,41,3,1,stimulus,Zone1,content_audio,655.4399999986344,,,,0,1,0,,,,,1,Trial,,1,D,G,deer_gear_003.mp3
