Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1589727143172,17/05/2020 14:52:23,1589727145963,-4,17/05/2020 10:52:25,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1280x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1589727156752,17/05/2020 14:52:36,1589727159614,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-1,New England
3,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-text,
4,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-sex-1,Female
5,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-ethnicity-2,Not Hispanic or Latino
6,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-race-5,White
7,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-handedness,Right-handed
8,1589727156910,17/05/2020 14:52:36,1589727159616,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-handedness-quantised,1
9,1589727156910,17/05/2020 14:52:36,1589727159617,-4,17/05/2020 10:52:39,17840,4,questionnaire-d7os,,4988931,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,13654
1,1589727274005,17/05/2020 14:54:34,1589727270176,-7,17/05/2020 07:54:30,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1589727315678,17/05/2020 14:55:15,1589727311841,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-5,Pacific southwest
3,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-text,
4,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-sex-2,Male
5,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-ethnicity-2,Not Hispanic or Latino
6,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-5,White
7,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness,Right-handed
8,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness-quantised,1
9,1589727315897,17/05/2020 14:55:15,1589727311843,-7,17/05/2020 07:55:11,17840,4,questionnaire-d7os,,4988968,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,41667
1,1589727359233,17/05/2020 14:55:59,1589727358488,-5,17/05/2020 09:55:58,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,BEGIN QUESTIONNAIRE,
2,1589727374092,17/05/2020 14:56:14,1589727373074,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-accent-3,Midwestern
3,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-accent-text,
4,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-sex-2,Male
