Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1595435963360,22/07/2020 16:39:23,1595435962391,-4,22/07/2020 12:39:22,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1366x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,BEGIN QUESTIONNAIRE,
2,1595435979278,22/07/2020 16:39:39,1595435979131,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-accent-7,Do not know
3,1595435979496,22/07/2020 16:39:39,1595435979138,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-accent-text,
4,1595435979496,22/07/2020 16:39:39,1595435979139,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-sex-1,Female
5,1595435979496,22/07/2020 16:39:39,1595435979142,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-ethnicity-2,Not Hispanic or Latino
6,1595435979496,22/07/2020 16:39:39,1595435979143,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-race-4,Black or African American
7,1595435979496,22/07/2020 16:39:39,1595435979144,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-handedness,Right-handed
8,1595435979496,22/07/2020 16:39:39,1595435979144,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,response-handedness-quantised,1
9,1595435979496,22/07/2020 16:39:39,1595435979145,-4,22/07/2020 12:39:39,21654,4,questionnaire-d7os,,6198162,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x768,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb2,END QUESTIONNAIRE,16755
1,1595437238710,22/07/2020 17:00:38,1595437239035,-7,22/07/2020 10:00:39,21654,4,questionnaire-d7os,,6198599,5f127dfdebc35e072317bc00,1748874,,complete,,5f18700aa9ff9c03d6cf7926,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1280x720,1280x610,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
