Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1595252042359,20/07/2020 13:34:02,1595252042208,-4,20/07/2020 09:34:02,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,BEGIN QUESTIONNAIRE,
2,1595252069642,20/07/2020 13:34:29,1595252069586,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-accent-3,Midwestern
3,1595252069783,20/07/2020 13:34:29,1595252069588,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-accent-text,
4,1595252069783,20/07/2020 13:34:29,1595252069588,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-sex-1,Female
5,1595252069783,20/07/2020 13:34:29,1595252069588,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-ethnicity-2,Not Hispanic or Latino
6,1595252069783,20/07/2020 13:34:29,1595252069588,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-race-5,White
7,1595252069783,20/07/2020 13:34:29,1595252069588,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-handedness,Right-handed
8,1595252069783,20/07/2020 13:34:29,1595252069589,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,response-handedness-quantised,1
9,1595252069783,20/07/2020 13:34:29,1595252069589,-4,20/07/2020 09:34:29,21654,3,questionnaire-d7os,,6161720,5eb0b6a0bf6e0017d079849b,1737011,,complete,,5f159cc66175b61e2e772a19,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.116,1440x900,1238x724,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,cb2,END QUESTIONNAIRE,27381
1,1595252157452,20/07/2020 13:35:57,1595252157305,-4,20/07/2020 09:35:57,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595252176538,20/07/2020 13:36:16,1595252176411,-4,20/07/2020 09:36:16,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,response-accent-2,Southern
3,1595252176727,20/07/2020 13:36:16,1595252176414,-4,20/07/2020 09:36:16,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,response-accent-text,
4,1595252176727,20/07/2020 13:36:16,1595252176414,-4,20/07/2020 09:36:16,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,response-sex-1,Female
5,1595252176727,20/07/2020 13:36:16,1595252176415,-4,20/07/2020 09:36:16,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,response-ethnicity-2,Not Hispanic or Latino
6,1595252176727,20/07/2020 13:36:16,1595252176415,-4,20/07/2020 09:36:16,21654,3,questionnaire-d7os,,6161759,5deac1a28b29321eafbda56b,1737023,,complete,,5f159d3f3895c30804e52e7f,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x762,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,cb1,response-race-5,White
