session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5f159cc66175b61e2e772a19,5eb0b6a0bf6e0017d079849b,APPROVED,2020-07-20 13:31:56.487000,2020-07-20 14:10:24.309000,2307.822,25,29,1,98,2020-07-20 21:07:07.673000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f159d3f3895c30804e52e7f,5deac1a28b29321eafbda56b,APPROVED,2020-07-20 13:34:13.150000,2020-07-20 14:13:18.712000,2345.562,22,98,1,100,2020-07-20 21:07:09.874000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f159d8d8cb3ae66b615a702,5eb5862f5fb0f20ba59cc348,APPROVED,2020-07-20 13:35:47.889000,2020-07-20 14:14:19.609000,2311.72,34,60,0,100,2020-07-20 21:07:12.653000,5DFE8175,Canada,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Male,Yes,Yes
5f159e3e399eaf6754eda20e,5f12f43121f08003e53d7151,APPROVED,2020-07-20 13:38:11.762000,2020-07-20 14:18:28.051000,2416.289,24,6,0,100,2020-07-20 21:07:14.509000,5DFE8175,United States,,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5f15b0e005379309d644827c,5e9e23f67266611ed1219178,APPROVED,2020-07-20 14:57:42.489000,2020-07-20 15:34:27.214000,2204.725,25,95,0,100,2020-07-20 21:07:17.101000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5f15b0e2791d17681335fc9a,5d1355386ea950001a4fd4fe,APPROVED,2020-07-20 14:58:14.623000,2020-07-20 16:01:11.819000,3777.196,33,402,4,99,2020-07-20 21:07:19.488000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f15b0ef86fcde6aac9d585a,5de7f38c0e586676865ec7da,RETURNED,2020-07-20 14:57:51.886000,,108354.209699,21,291,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b11d2eed6a20840cc442,5ecfd5d137b5ef043af3882a,APPROVED,2020-07-20 14:58:37.840000,2020-07-20 15:40:11.969000,2494.129,21,110,0,100,2020-07-20 21:07:22.482000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f15b126f07713093ccd72b7,5eda898eca52056a641c3fb2,APPROVED,2020-07-20 15:01:07.572000,2020-07-20 15:40:12.935000,2345.363,19,88,1,100,2020-07-20 21:07:25.122000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f15b12fa6b4b06966207a81,5ed408c6d5144e085de4b999,APPROVED,2020-07-20 15:01:33.681000,2020-07-20 15:46:13.352000,2679.671,31,131,1,100,2020-07-20 21:07:27.766000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
