Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593639320389,01/07/2020 21:35:20,1593639319534,-4,01/07/2020 17:35:19,21059,7,questionnaire-t1fh,,5861602,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1360x695,Fail,Information-Sheet-MagLab-45 minute,2,Yes,Fail,,Fail,Fail,Order2,BEGIN QUESTIONNAIRE,
2,1593639336487,01/07/2020 21:35:36,1593639335701,-4,01/07/2020 17:35:35,21059,7,questionnaire-t1fh,,5861602,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Information-Sheet-MagLab-45 minute,2,Yes,Fail,,Fail,Fail,Order2,consent,Yes
3,1593639336630,01/07/2020 21:35:36,1593639335702,-4,01/07/2020 17:35:35,21059,7,questionnaire-t1fh,,5861602,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Information-Sheet-MagLab-45 minute,2,Yes,Fail,,Fail,Fail,Order2,consent-quantised,1
4,1593639336630,01/07/2020 21:35:36,1593639335702,-4,01/07/2020 17:35:35,21059,7,questionnaire-t1fh,,5861602,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Information-Sheet-MagLab-45 minute,2,Yes,Fail,,Fail,Fail,Order2,END QUESTIONNAIRE,16168
1,1593639352256,01/07/2020 21:35:52,1593639353281,-4,01/07/2020 17:35:53,21059,7,questionnaire-t1fh,,5861613,5ed95c9a032e0e4f18bae02f,1649838,,complete,,5efd019c981e21137bbe110e,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1920x910,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593639362246,01/07/2020 21:36:02,1593639363311,-4,01/07/2020 17:36:03,21059,7,questionnaire-t1fh,,5861613,5ed95c9a032e0e4f18bae02f,1649838,,complete,,5efd019c981e21137bbe110e,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x910,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593639362356,01/07/2020 21:36:02,1593639363311,-4,01/07/2020 17:36:03,21059,7,questionnaire-t1fh,,5861613,5ed95c9a032e0e4f18bae02f,1649838,,complete,,5efd019c981e21137bbe110e,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x910,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593639362356,01/07/2020 21:36:02,1593639363311,-4,01/07/2020 17:36:03,21059,7,questionnaire-t1fh,,5861613,5ed95c9a032e0e4f18bae02f,1649838,,complete,,5efd019c981e21137bbe110e,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x910,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,10030
1,1593639449411,01/07/2020 21:37:29,1593639448785,-5,01/07/2020 16:37:28,21059,7,questionnaire-t1fh,,5861638,5ef6649d85fd343453dbca54,1649843,,complete,,5efd020918cae81379b85e31,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1920x938,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,BEGIN QUESTIONNAIRE,
2,1593639463741,01/07/2020 21:37:43,1593639463184,-5,01/07/2020 16:37:43,21059,7,questionnaire-t1fh,,5861638,5ef6649d85fd343453dbca54,1649843,,complete,,5efd020918cae81379b85e31,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x938,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent,Yes
3,1593639463882,01/07/2020 21:37:43,1593639463186,-5,01/07/2020 16:37:43,21059,7,questionnaire-t1fh,,5861638,5ef6649d85fd343453dbca54,1649843,,complete,,5efd020918cae81379b85e31,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x938,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent-quantised,1
4,1593639463882,01/07/2020 21:37:43,1593639463187,-5,01/07/2020 16:37:43,21059,7,questionnaire-t1fh,,5861638,5ef6649d85fd343453dbca54,1649843,,complete,,5efd020918cae81379b85e31,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1903x938,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,END QUESTIONNAIRE,14402
1,1593639470289,01/07/2020 21:37:50,1593639470648,-5,01/07/2020 16:37:50,21059,7,questionnaire-t1fh,,5861643,5efa9017170fdf8d483d1c1a,1649845,,complete,,5efd021cefd67d130739f062,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593639477448,01/07/2020 21:37:57,1593639477966,-5,01/07/2020 16:37:57,21059,7,questionnaire-t1fh,,5861643,5efa9017170fdf8d483d1c1a,1649845,,complete,,5efd021cefd67d130739f062,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593639477619,01/07/2020 21:37:57,1593639477970,-5,01/07/2020 16:37:57,21059,7,questionnaire-t1fh,,5861643,5efa9017170fdf8d483d1c1a,1649845,,complete,,5efd021cefd67d130739f062,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593639477619,01/07/2020 21:37:57,1593639477970,-5,01/07/2020 16:37:57,21059,7,questionnaire-t1fh,,5861643,5efa9017170fdf8d483d1c1a,1649845,,complete,,5efd021cefd67d130739f062,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,7322
1,1593639528649,01/07/2020 21:38:48,1593639527994,-4,01/07/2020 17:38:47,21059,7,questionnaire-t1fh,,5861656,5d1cd7fa4234390019d08156,1649853,,complete,,5efd025ca81990129eee0ae0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,742x763,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593639542109,01/07/2020 21:39:02,1593639541558,-4,01/07/2020 17:39:01,21059,7,questionnaire-t1fh,,5861656,5d1cd7fa4234390019d08156,1649853,,complete,,5efd025ca81990129eee0ae0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,725x763,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1593639542235,01/07/2020 21:39:02,1593639541560,-4,01/07/2020 17:39:01,21059,7,questionnaire-t1fh,,5861656,5d1cd7fa4234390019d08156,1649853,,complete,,5efd025ca81990129eee0ae0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,725x763,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
