Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593692476599,02/07/2020 12:21:16,1593692476467,-4,02/07/2020 08:21:16,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,BEGIN QUESTIONNAIRE,
2,1593692489181,02/07/2020 12:21:29,1593692489117,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-accent-7,Do not know
3,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-accent-text,
4,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-sex-2,Male
5,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-ethnicity-2,Not Hispanic or Latino
6,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-race-5,White
7,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-handedness,Right-handed
8,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,response-handedness-quantised,1
9,1593692489291,02/07/2020 12:21:29,1593692489118,-4,02/07/2020 08:21:29,21059,9,questionnaire-d7os,,5869584,5af7646de066a40001135ce2,1652185,,complete,,5efdd0d05c740405c3f17556,computer,Desktop or Laptop,Mac OS 10.14.4,Safari 12.1,2560x1440,1470x679,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order2,END QUESTIONNAIRE,12651
1,1593692492289,02/07/2020 12:21:32,1593692491880,-4,02/07/2020 08:21:31,21059,9,questionnaire-d7os,,5869589,5d0d260f7374b40019cef54a,1652183,,complete,,5efdd0afc3d6bf052d7ded7e,computer,Desktop or Laptop,Linux x86_64,Chrome 83.0.4103.106,869x412,980x417,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order2,BEGIN QUESTIONNAIRE,
