session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5efcd71c857e020ea3120fdd,5e9401795d82c12686ae8ddd,APPROVED,2020-07-01 18:35:08.252000,2020-07-01 19:16:02.832000,2454.58,20,36,0,100,2020-07-01 21:33:17.731000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5efcdad74ff2090ea1deab02,5d4c7aa8f05d320001760340,APPROVED,2020-07-01 18:50:38.854000,2020-07-01 19:28:56.938000,2298.084,26,233,1,100,2020-07-01 21:33:19.011000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5efcdb1a9801530e73283f7d,5d4cc616f87bbe0001f41282,APPROVED,2020-07-01 18:51:08.352000,2020-07-01 19:41:57.672000,3049.32,31,290,0,100,2020-07-01 21:33:20.107000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5efcdbce15ba870e93b5aabc,5e2a43116a126f0a33059175,APPROVED,2020-07-01 18:54:16.580000,2020-07-01 19:37:56.738000,2620.158,19,177,1,100,2020-07-01 21:33:21.364000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5efd016082ecbb1312fd9cc8,5ed8ec3c14c6a3419a477cd1,TIMED-OUT,2020-07-01 21:36:37.379000,,58791.849618,29,73,0,100,,,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5efd0183d8e2f8132d7c24a6,5edcf1a9d4e89103f0081dd2,APPROVED,2020-07-01 21:35:14.697000,2020-07-01 22:14:05.175000,2330.478,24,51,0,100,2020-07-02 12:12:38.003000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,Yes,Yes
5efd019c981e21137bbe110e,5ed95c9a032e0e4f18bae02f,APPROVED,2020-07-01 21:35:27.023000,2020-07-01 22:15:14.793000,2387.77,34,21,0,100,2020-07-02 12:12:39.060000,5DFE8175,United States,,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5efd020918cae81379b85e31,5ef6649d85fd343453dbca54,APPROVED,2020-07-01 21:37:22.262000,2020-07-01 22:15:13.747000,2271.485,22,7,0,100,2020-07-02 12:12:40.157000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5efd021cefd67d130739f062,5efa9017170fdf8d483d1c1a,APPROVED,2020-07-01 21:37:40.847000,2020-07-01 22:23:25.387000,2744.54,24,7,0,100,2020-07-02 12:12:41.170000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5efd022f4f6a0e138873ae81,5efb2196ee00aa03d20b6b9e,RETURNED,2020-07-01 21:37:59.305000,,58710.134633,24,10,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
