Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1592668730217,20/06/2020 15:58:50,1592668729030,-5,20/06/2020 10:58:49,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592668731279,20/06/2020 15:58:51,1592668730185,-5,20/06/2020 10:58:50,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,1,1,1,Screen 1,advancementZone,continue_button,1093.6250000086147,,,,,0,1,0,,,,,,Welcome,,,,,
3,1592668735808,20/06/2020 15:58:55,1592668734695,-5,20/06/2020 10:58:54,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,2,1,1,Screen 1,advancementZone,continue_button,4482.77999999118,,,,,0,1,0,,,,,,Instructions,,,,,
4,1592668742856,20/06/2020 15:59:02,1592668741760,-5,20/06/2020 10:59:01,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,2,1,2,Screen 2,Zone1,continue_button,7038.804999989225,,,,,0,1,0,,,,,,Instructions,,,,,
5,1592668743856,20/06/2020 15:59:03,1592668742756,-5,20/06/2020 10:59:02,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,54,1,1,stimulus,fixation,fixation,1000.3799999999992,,,,,0,1,0,,,,,1,Trial,,1,SH,S,dangerous_dangerush_009.mp3
6,1592668745560,20/06/2020 15:59:05,1592668744459,-5,20/06/2020 10:59:04,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,54,1,2,response,Zone2,response_keyboard_single,1678.5000000090804,,,SH,1,0,1,0,,,,,1,Trial,,1,SH,S,dangerous_dangerush_009.mp3
7,1592668746547,20/06/2020 15:59:06,1592668745454,-5,20/06/2020 10:59:05,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,54,1,3,Screen 1,fixation,fixation,1000.413999999997,,,,,0,1,0,,,,,1,Trial,,1,SH,S,dangerous_dangerush_009.mp3
8,1592668747550,20/06/2020 15:59:07,1592668746454,-5,20/06/2020 10:59:06,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,15,2,1,stimulus,fixation,fixation,1000.3410000000003,,,,,0,1,0,,,,,1,Trial,,1,SH,S,abolish_aboliss_008.mp3
9,1592668748431,20/06/2020 15:59:08,1592668747325,-5,20/06/2020 10:59:07,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,15,2,2,response,Zone3,response_keyboard_single,858.7350000161678,,,S,1,0,1,0,,,,,1,Trial,,1,SH,S,abolish_aboliss_008.mp3
10,1592668749433,20/06/2020 15:59:09,1592668748323,-5,20/06/2020 10:59:08,20280,9,task-8qgs,,5715842,5e78d6a0bc70c94664aae415,1595957,,complete,,5eee31717cff1a29eb381a10,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x722,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,w_nw_order4,w_nw_order4,15,2,3,Screen 1,fixation,fixation,1000.3940000000002,,,,,0,1,0,,,,,1,Trial,,1,SH,S,abolish_aboliss_008.mp3
