Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1592673070214,20/06/2020 17:11:10,1592673070053,-5,20/06/2020 12:11:10,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,BEGIN QUESTIONNAIRE,
2,1592673085042,20/06/2020 17:11:25,1592673084946,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-accent-3,Midwestern
3,1592673085278,20/06/2020 17:11:25,1592673084947,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-accent-text,
4,1592673085278,20/06/2020 17:11:25,1592673084947,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-sex-3,Other
5,1592673085278,20/06/2020 17:11:25,1592673084948,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-ethnicity-2,Not Hispanic or Latino
6,1592673085278,20/06/2020 17:11:25,1592673084948,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-race-5,White
7,1592673085278,20/06/2020 17:11:25,1592673084948,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-handedness,Right-handed
8,1592673085278,20/06/2020 17:11:25,1592673084948,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,response-handedness-quantised,1
9,1592673085278,20/06/2020 17:11:25,1592673084948,-5,20/06/2020 12:11:24,20280,10,questionnaire-d7os,,5716267,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,nw_nw_order2,END QUESTIONNAIRE,14895
1,1592673372834,20/06/2020 17:16:12,1592673371356,1,20/06/2020 18:16:11,20280,10,questionnaire-d7os,,5716300,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,w_nw_order1,BEGIN QUESTIONNAIRE,
