Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1592668551613,20/06/2020 15:55:51,1592668550343,1,20/06/2020 16:55:50,20280,9,questionnaire-t1fh,,5715810,5ed78c509f0f14218e2a1c38,1595954,,complete,,5eee31674baef32a7bd01c41,mobile,undefined undefined,Android 9,Firefox 68.0,360x720,360x664,Fail,Information-Sheet-MagLab-30 minute,2,Yes,Fail,,Fail,Fail,w_nw_order1,BEGIN QUESTIONNAIRE,
2,1592668636928,20/06/2020 15:57:16,1592668635722,1,20/06/2020 16:57:15,20280,9,questionnaire-t1fh,,5715810,5ed78c509f0f14218e2a1c38,1595954,,complete,,5eee31674baef32a7bd01c41,mobile,undefined undefined,Android 9,Firefox 68.0,360x720,360x664,Fail,Information-Sheet-MagLab-30 minute,2,Yes,Fail,,Fail,Fail,w_nw_order1,consent,Yes
3,1592668637489,20/06/2020 15:57:17,1592668635735,1,20/06/2020 16:57:15,20280,9,questionnaire-t1fh,,5715810,5ed78c509f0f14218e2a1c38,1595954,,complete,,5eee31674baef32a7bd01c41,mobile,undefined undefined,Android 9,Firefox 68.0,360x720,360x664,Fail,Information-Sheet-MagLab-30 minute,2,Yes,Fail,,Fail,Fail,w_nw_order1,consent-quantised,1
4,1592668637489,20/06/2020 15:57:17,1592668635737,1,20/06/2020 16:57:15,20280,9,questionnaire-t1fh,,5715810,5ed78c509f0f14218e2a1c38,1595954,,complete,,5eee31674baef32a7bd01c41,mobile,undefined undefined,Android 9,Firefox 68.0,360x720,360x664,Fail,Information-Sheet-MagLab-30 minute,2,Yes,Fail,,Fail,Fail,w_nw_order1,END QUESTIONNAIRE,85395
1,1592668549954,20/06/2020 15:55:49,1592668549475,-5,20/06/2020 10:55:49,20280,9,questionnaire-t1fh,,5715811,5ea1e08c9315030d25de2c39,1595955,,complete,,5eee31780171100605f12126,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1920x1080,1920x969,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,BEGIN QUESTIONNAIRE,
2,1592668556185,20/06/2020 15:55:56,1592668555778,-5,20/06/2020 10:55:55,20280,9,questionnaire-t1fh,,5715811,5ea1e08c9315030d25de2c39,1595955,,complete,,5eee31780171100605f12126,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,2561x1440,2560x1330,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,consent,Yes
3,1592668556339,20/06/2020 15:55:56,1592668555779,-5,20/06/2020 10:55:55,20280,9,questionnaire-t1fh,,5715811,5ea1e08c9315030d25de2c39,1595955,,complete,,5eee31780171100605f12126,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,2561x1440,2560x1330,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,consent-quantised,1
4,1592668556339,20/06/2020 15:55:56,1592668555780,-5,20/06/2020 10:55:55,20280,9,questionnaire-t1fh,,5715811,5ea1e08c9315030d25de2c39,1595955,,complete,,5eee31780171100605f12126,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,2561x1440,2560x1330,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,END QUESTIONNAIRE,6305
1,1592668555310,20/06/2020 15:55:55,1592668555208,-4,20/06/2020 11:55:55,20280,9,questionnaire-t1fh,,5715813,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order1,BEGIN QUESTIONNAIRE,
2,1592668566291,20/06/2020 15:56:06,1592668566214,-4,20/06/2020 11:56:06,20280,9,questionnaire-t1fh,,5715813,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1425x820,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order1,consent,Yes
