session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5eecb374d2f5e705f2ab4287,5e52981996dbff2a92ccbd24,APPROVED,2020-06-19 12:46:15.868000,2020-06-19 13:16:08.112000,1792.244,24,91,0,100,2020-06-19 18:53:49.648000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eecb47494f32e05a58d69fc,5d34d17089232600011ade3a,RETURNED,2020-06-19 12:49:59.249000,,109511.199239,31,247,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eecb6a39e63ac052d83c18f,5e8df776a5de130944a8c2c2,APPROVED,2020-06-19 13:00:18.242000,2020-06-19 13:33:45.343000,2007.101,26,105,0,100,2020-06-19 18:53:51.061000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eecb8451199ca06ef6402d7,5e95f5acbc10f705f132c60b,APPROVED,2020-06-19 13:06:15.683000,2020-06-19 13:39:45.918000,2010.235,32,121,0,100,2020-06-19 18:53:52.427000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eecba4630826a05a67fc23a,5a245378336eb200013d4630,APPROVED,2020-06-19 13:14:52.653000,2020-06-19 13:45:45.025000,1852.372,31,157,1,100,2020-06-19 18:53:53.442000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eecba839a47b207435f421c,5ec2ec9fdaef0d11e3109f74,APPROVED,2020-06-19 13:16:12.532000,2020-06-19 14:21:44.430000,3931.898,21,70,2,97,2020-06-19 18:53:47.648000,NOCODE,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5eecbac1b1885706af27ab05,5d9be30b027b5602c520d93b,APPROVED,2020-06-19 13:16:55.004000,2020-06-19 13:45:50.703000,1735.699,25,74,0,100,2020-06-19 18:54:00.157000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eecbc3866da9e0663775821,5d558ebe886e3f0020e90fce,RETURNED,2020-06-19 13:29:17.941000,,107152.647612,30,319,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eecbda04e531e06d7901e17,5e8ccd5df2fccc0885ee9261,APPROVED,2020-06-19 13:29:07.937000,2020-06-19 13:57:53.430000,1725.493,23,111,1,100,2020-06-19 18:54:06.636000,5DFE8175,United States,United States,Due to start a new job within the next month,I only know English,English,No,none,United States,Male,Yes,Yes
5eecbe71dc936105c310c623,5ea9704edf73440535b5e34d,RETURNED,2020-06-19 13:32:53.510000,,106937.109693,31,102,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eecbeb524c83c07b97dc712,5daf69dead76f400171851ea,RETURNED,2020-06-19 13:33:44.324000,2020-06-19 13:35:24.582000,100.258,32,108,2,99,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eedfe88fb4e0300094394dc,5ec72a8e4131bd1859ffcfe7,APPROVED,2020-06-20 12:18:19.335000,2020-06-20 12:52:16.353000,2037.018,21,55,0,100,2020-06-20 15:51:41.345000,5DFE8175,Canada,United States,Unemployed (and job seeking),I only know English,English,No,none,Canada,Female,No,Yes
5eedfe95c737bd01713f3f31,5d92aaea27fdac001b8fe0c0,RETURNED,2020-06-20 12:18:29.101000,,25001.554078,34,301,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eedfea74e531e2559236e97,5ec4eaa191b3773eb85b7f7f,APPROVED,2020-06-20 12:18:47.727000,2020-06-20 12:57:24.621000,2316.894,27,90,0,100,2020-06-20 15:51:42.368000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5eedfeaacecc59061e3cebcc,5edb57018a042d7cf7ff84f7,APPROVED,2020-06-20 12:24:59.597000,2020-06-20 12:54:17.340000,1757.743,34,39,0,100,2020-06-20 15:51:43.379000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eedfeaddb73ad012b5f8b0a,5d939684f453df0018340676,RETURNED,2020-06-20 12:18:53.773000,,24976.950674,33,283,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eedfeb35ed7a3247fee1088,569cffa09e8363000c3087cd,APPROVED,2020-06-20 12:21:06.112000,2020-06-20 13:02:00.096000,2453.984,25,2126,8,100,2020-06-20 15:51:44.552000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5eedfeb660a4442567705c73,5ec4ea0de472063e9275cc0a,APPROVED,2020-06-20 12:19:34.465000,2020-06-20 12:59:37.884000,2403.419,25,36,0,100,2020-06-20 15:51:45.534000,5DFE8175,United Kingdom,United States,Full-Time,I only know English,English,No,none,United Kingdom,Male,Yes,Yes
5eedfec2b188572583e08243,5ea70c792336640b58b484e4,APPROVED,2020-06-20 12:26:23.103000,2020-06-20 13:20:36.857000,3253.754,32,113,1,100,2020-06-20 15:51:46.577000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eedfec424c83c24b267b6b8,5ed64e9e85c75605a412f27b,TIMED-OUT,2020-06-20 12:20:25.316000,,24885.514273,26,41,0,100,,,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,No,Yes
5eedfed73a975d248c44b8a6,5eae195e7655c44d949107dd,APPROVED,2020-06-20 12:19:35.379000,2020-06-20 13:02:59.958000,2604.579,23,78,0,100,2020-06-20 15:51:48.727000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5eedfed7256b87011f9e7b41,5ea8e6a3a6a50b17e4acb588,APPROVED,2020-06-20 12:24:58.560000,2020-06-20 13:03:31.372000,2312.812,28,93,0,100,2020-06-20 15:51:47.597000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
