Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1589575891036,15/05/2020 20:51:31,1589575890879,-4,15/05/2020 16:51:30,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,
2,1589575892974,15/05/2020 20:51:32,1589575892871,-4,15/05/2020 16:51:32,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,1,1,1,Screen 1,advancementZone,continue_button,1796.440000005532,,,,0,1,0,,,,,,Welcome,,,,,
3,1589575894223,15/05/2020 20:51:34,1589575894125,-4,15/05/2020 16:51:34,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,2,1,1,Screen 1,advancementZone,continue_button,1193.8700000027893,,,,0,1,0,,,,,,Instructions,,,,,
4,1589575895130,15/05/2020 20:51:35,1589575895062,-4,15/05/2020 16:51:35,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,104,1,1,stimulus,Zone1,content_audio,887.1950000029756,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_007.mp3
5,1589575901131,15/05/2020 20:51:41,1589575901056,-4,15/05/2020 16:51:41,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,104,1,2,response,Zone1,timelimit_screen,6004.281999999999,,,,0,1,0,,,1,,1,Trial,,1,L,R,lock_rock_007.mp3
6,1589575902134,15/05/2020 20:51:42,1589575902058,-4,15/05/2020 16:51:42,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,104,1,3,Screen 1,fixation,fixation,1003.5190000000002,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_007.mp3
7,1589575903102,15/05/2020 20:51:43,1589575903042,-4,15/05/2020 16:51:43,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,130,2,1,stimulus,Zone1,content_audio,919.000000008964,,,,0,1,0,,,,,1,Trial,,1,L,R,low_row_002.mp3
8,1589575905509,15/05/2020 20:51:45,1589575905447,-4,15/05/2020 16:51:45,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,130,2,2,response,Zone2,response_keyboard_single,2378.884999998263,,L,1,0,1,0,,,,,1,Trial,,1,L,R,low_row_002.mp3
9,1589575906508,15/05/2020 20:51:46,1589575906442,-4,15/05/2020 16:51:46,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,130,2,3,Screen 1,fixation,fixation,1003.5670000000009,,,,0,1,0,,,,,1,Trial,,1,L,R,low_row_002.mp3
10,1589575907492,15/05/2020 20:51:47,1589575907421,-4,15/05/2020 16:51:47,17840,3,task-f85n,,4965084,5e7ce396ded6d3350759146b,1408533,,complete,,5ebf0040fa0c6a10dd0520d0,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1366x768,1366x657,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,8,3,1,stimulus,Zone1,content_audio,921.7249999928754,,,,0,1,0,,,,,1,Trial,,1,L,R,lace_race_004.mp3
