Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1589577345816,15/05/2020 21:15:45,1589577344204,-4,15/05/2020 17:15:44,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,
2,1589577347301,15/05/2020 21:15:47,1589577345748,-4,15/05/2020 17:15:45,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,1,1,1,Screen 1,advancementZone,continue_button,1200.0699999989592,,,,0,1,0,,,,,,Welcome,,,,,
3,1589577350475,15/05/2020 21:15:50,1589577348908,-4,15/05/2020 17:15:48,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,2,1,1,Screen 1,advancementZone,continue_button,3128.98000000132,,,,0,1,0,,,,,,Instructions,,,,,
4,1589577351195,15/05/2020 21:15:51,1589577349643,-4,15/05/2020 17:15:49,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,114,1,1,stimulus,Zone1,content_audio,698.1849999974656,,,,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_003.mp3
5,1589577355149,15/05/2020 21:15:55,1589577353584,-4,15/05/2020 17:15:53,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,114,1,2,response,Zone2,response_keyboard_single,3897.74000000034,,D,1,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_003.mp3
6,1589577356103,15/05/2020 21:15:56,1589577354561,-4,15/05/2020 17:15:54,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,114,1,3,Screen 1,fixation,fixation,999.4539999999997,,,,0,1,0,,,,,1,Trial,,1,D,G,dull_gull_003.mp3
7,1589577356902,15/05/2020 21:15:56,1589577355362,-4,15/05/2020 17:15:55,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,134,2,1,stimulus,Zone1,content_audio,715.0799999981245,,,,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_004.mp3
8,1589577357685,15/05/2020 21:15:57,1589577356144,-4,15/05/2020 17:15:56,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,134,2,2,response,Zone2,response_keyboard_single,749.3199999989884,,D,1,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_004.mp3
9,1589577358672,15/05/2020 21:15:58,1589577357133,-4,15/05/2020 17:15:57,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,134,2,3,Screen 1,fixation,fixation,999.3630000000012,,,,0,1,0,,,,,1,Trial,,1,D,G,dumb_gum_004.mp3
10,1589577359594,15/05/2020 21:15:59,1589577358041,-4,15/05/2020 17:15:58,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,21,3,1,stimulus,Zone1,content_audio,852.7949999988778,,,,0,1,0,,,,,1,Trial,,1,D,G,daze_gaze_002.mp3
