Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1589830092386,18/05/2020 19:28:12,1589830091331,-6,18/05/2020 13:28:11,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,
2,1589830094886,18/05/2020 19:28:14,1589830093883,-6,18/05/2020 13:28:13,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,1,1,1,Screen 1,advancementZone,continue_button,2426.999999996042,,,,0,1,0,,,,,,Welcome,,,,,
3,1589830105468,18/05/2020 19:28:25,1589830104448,-6,18/05/2020 13:28:24,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,2,1,1,Screen 1,advancementZone,continue_button,10509.000000005472,,,,0,1,0,,,,,,Instructions,,,,,
4,1589830130036,18/05/2020 19:28:50,1589830129008,-6,18/05/2020 13:28:49,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,2,1,2,Screen 2,Zone1,continue_button,24493.000000002212,,,,0,1,0,,,,,,Instructions,,,,,
5,1589830131010,18/05/2020 19:28:51,1589830130000,-6,18/05/2020 13:28:50,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,70,1,1,stimulus,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
6,1589830132619,18/05/2020 19:28:52,1589830131616,-6,18/05/2020 13:28:51,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,70,1,2,response,Zone3,response_keyboard_single,1582.0000000094296,,T,1,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
7,1589830133622,18/05/2020 19:28:53,1589830132602,-6,18/05/2020 13:28:52,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,70,1,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
8,1589830134498,18/05/2020 19:28:54,1589830133514,-6,18/05/2020 13:28:53,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,11,2,1,stimulus,Zone1,content_audio,848.0000000126893,,,,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_006.mp3
9,1589830135881,18/05/2020 19:28:55,1589830134895,-6,18/05/2020 13:28:54,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,11,2,2,response,Zone2,response_keyboard_single,1355.9999999997672,,K,1,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_006.mp3
10,1589830136890,18/05/2020 19:28:56,1589830135889,-6,18/05/2020 13:28:55,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,11,2,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_006.mp3
11,1589830137627,18/05/2020 19:28:57,1589830136635,-6,18/05/2020 13:28:56,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,133,3,1,stimulus,Zone1,content_audio,709.0000000025611,,,,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_004.mp3
