Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1589829190303,18/05/2020 19:13:10,1589829190019,-4,18/05/2020 15:13:10,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,
2,1589829191371,18/05/2020 19:13:11,1589829191137,-4,18/05/2020 15:13:11,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,1,1,1,Screen 1,advancementZone,continue_button,1021.9999999999998,,,,0,1,0,,,,,,Welcome,,,,,
3,1589829198440,18/05/2020 19:13:18,1589829198224,-4,18/05/2020 15:13:18,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,2,1,1,Screen 1,advancementZone,continue_button,7048.200000000001,,,,0,1,0,,,,,,Instructions,,,,,
4,1589829209434,18/05/2020 19:13:29,1589829209210,-4,18/05/2020 15:13:29,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,2,1,2,Screen 2,Zone1,continue_button,10967.3,,,,0,1,0,,,,,,Instructions,,,,,
5,1589829210464,18/05/2020 19:13:30,1589829210221,-4,18/05/2020 15:13:30,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,39,1,1,stimulus,fixation,fixation,1006.0236000000004,,,,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_002.mp3
6,1589829213577,18/05/2020 19:13:33,1589829213347,-4,18/05/2020 15:13:33,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,39,1,2,response,Zone3,response_keyboard_single,3097.7000000000007,,S,1,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_002.mp3
7,1589829214585,18/05/2020 19:13:34,1589829214339,-4,18/05/2020 15:13:34,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,39,1,3,Screen 1,fixation,fixation,996.1142,,,,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_002.mp3
8,1589829215571,18/05/2020 19:13:35,1589829215344,-4,18/05/2020 15:13:35,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,47,2,1,stimulus,fixation,fixation,1001.1594999999979,,,,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_006.mp3
9,1589829216274,18/05/2020 19:13:36,1589829216036,-4,18/05/2020 15:13:36,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,47,2,2,response,Zone2,response_keyboard_single,660.0999999999985,,SH,1,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_006.mp3
10,1589829217260,18/05/2020 19:13:37,1589829217029,-4,18/05/2020 15:13:37,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,47,2,3,Screen 1,fixation,fixation,1004.5324,,,,0,1,0,,,,,1,Trial,,1,SH,S,sign_shine_006.mp3
11,1589829218244,18/05/2020 19:13:38,1589829218013,-4,18/05/2020 15:13:38,17840,4,task-npku,,5014697,5d94aefeffb348001e4f92ad,1422799,,complete,,5ec2ddb70023851098d34ab9,computer,Desktop or Laptop,Windows 10,Edge 18.18363,1536x864,1536x719,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,4,3,1,stimulus,Zone1,content_audio,916,,,,0,1,0,,,,,1,Trial,,1,SH,S,same_shame_002.mp3
