Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1589727055926,17/05/2020 14:50:55,1589727058617,-4,17/05/2020 10:50:58,17840,4,questionnaire-t1fh,,4988918,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1280x579,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1589727089827,17/05/2020 14:51:29,1589727092674,-4,17/05/2020 10:51:32,17840,4,questionnaire-t1fh,,4988918,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1589727089983,17/05/2020 14:51:29,1589727092677,-4,17/05/2020 10:51:32,17840,4,questionnaire-t1fh,,4988918,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
4,1589727089983,17/05/2020 14:51:29,1589727092677,-4,17/05/2020 10:51:32,17840,4,questionnaire-t1fh,,4988918,5eb1bfe57e59240f9097f59d,1415012,,complete,,5ec14f43b6b9b7558efb1eda,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x720,1263x579,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,34060
1,1589727071621,17/05/2020 14:51:11,1589727070877,-5,17/05/2020 09:51:10,17840,4,questionnaire-t1fh,,4988919,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,Order4,BEGIN QUESTIONNAIRE,
2,1589727176505,17/05/2020 14:52:56,1589727175419,-5,17/05/2020 09:52:55,17840,4,questionnaire-t1fh,,4988919,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,Order4,consent,Yes
3,1589727176848,17/05/2020 14:52:56,1589727175423,-5,17/05/2020 09:52:55,17840,4,questionnaire-t1fh,,4988919,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,Order4,consent-quantised,1
4,1589727176848,17/05/2020 14:52:56,1589727175423,-5,17/05/2020 09:52:55,17840,4,questionnaire-t1fh,,4988919,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,Order4,END QUESTIONNAIRE,104546
1,1589727132361,17/05/2020 14:52:12,1589727128464,-7,17/05/2020 07:52:08,17840,4,questionnaire-t1fh,,4988928,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x969,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1589727224252,17/05/2020 14:53:44,1589727220467,-7,17/05/2020 07:53:40,17840,4,questionnaire-t1fh,,4988928,5eba3135160372169b8355ab,1415015,,complete,,5ec14f4eda53a903b67678ee,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x969,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
