session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5ebefd70dc3ed713ad3876f5,5d58cb946c04b200161ecf9b,APPROVED,37:24.6,18:38.2,2473.576,19,7,0,100,37:44.2,NOCODE,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5ebf0040fa0c6a10dd0520d0,5e7ce396ded6d3350759146b,APPROVED,49:13.5,15:38.8,1585.272,21,85,0,100,37:45.4,NOCODE,United States,United States,Other,I only know English,English,No,none,United States,Female,No,Yes
5ebf029bddad5c2dca3dcc5a,5d712561d9fdc5001a11daac,RETURNED,59:20.4,10:00.2,639.761,56,127,1,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf03d561d63a1388a4a1b8,5deec61c6d52b8000c11274d,APPROVED,04:36.2,41:34.6,2218.368,19,26,0,100,36:01.8,5DFE8175,United States,United States,Part-Time,I only know English,English,No,"none, not applicable",United States,Female,Yes,Yes
5ebf053fbd76502c6b1f6b26,5e862afa83d14d083ee75678,APPROVED,10:29.6,35:37.7,1508.101,27,36,0,100,36:02.7,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5ebf05adc9333b2e7aa2fbe4,5eaeea623a693d5b42c7c24a,RETURNED,12:15.4,,3020563.813,37,61,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf05ee801ee11160af2bce,5e88aa8623211152cd6458c2,APPROVED,14:01.6,46:50.9,1969.282,19,102,0,100,36:03.9,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5ebf0624ba4443196d034c4f,5cedc6a0af7838001999ab96,APPROVED,14:14.7,37:53.8,1419.161,21,168,0,100,36:04.9,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Female,Yes,Yes
5ebf06bcddad5c2e74b68a3f,5da905c753e5e10012d1a486,RETURNED,16:48.1,,3020291.104,20,115,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf06ce3d870d2d1f8c5bb0,5ebc4c989ffec6079a0f6098,APPROVED,17:19.0,07:08.1,2989.176,26,11,0,100,36:06.3,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5ebf06f93796e312768b2f39,5dea9f92c3aca11bffec8b7e,RETURNED,23:20.8,,3019898.488,25,232,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf078d0ae7a42e0ca6df54,5e80035175b8e46ef5bb2935,RETURNED,20:52.6,,3020046.63,22,34,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf0799b587fe2d5a862af2,55a42fa0fdf99b7da1908d10,APPROVED,20:33.8,51:19.8,1846.049,30,28,0,100,36:07.2,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ebf08a2e70ab7190c6e65fe,5e321c96c0a4dc2036061d9e,APPROVED,24:58.8,53:29.4,1710.625,58,42,0,100,36:08.2,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,No,Yes
5ebf08e89d56a11207cfac8f,5e72ca5b264abb21732427cf,APPROVED,26:04.3,55:11.2,1746.843,36,127,2,99,36:09.2,5DFE8175,Pakistan,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,Urdu,No,none,Pakistan,Female,No,Yes
5ebf0912cf12be2e5b8a72f5,5eaac67dd2eb78022d8e1b4c,APPROVED,26:46.1,57:16.3,1830.138,25,73,2,97,36:10.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ebf095ce865c213d3a6e250,5e9f8949d526b21296a6bf21,RETURNED,28:02.0,35:41.1,459.067,23,91,3,96,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf09c62bd551122c2ca4fb,58afadc49f78e200018fa48d,TIMED-OUT,29:54.2,,3019505.196,36,300,1,100,,,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ebf0a07bbb4521526180eff,5d5e1793e81fc40017c259cc,APPROVED,30:50.1,55:15.7,1465.686,25,275,1,100,36:11.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5ebf0a231f69ce2dd12ea8fc,5e7c8b692730910008c30b5d,RETURNED,37:40.7,,3019038.692,21,136,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf0a39912dc21904a88ec6,5e3f3d2087176a1a1c434fc2,TIMED-OUT,31:48.7,,3019390.72,45,149,5,92,,,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5ebf0cee3d870d2de0013450,5e9e6dc2a8d25e243dfc6a43,REJECTED,43:27.5,43:53.8,26.307,22,45,1,99,34:43.8,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5ebf0cfa0fe6eb2e56e1f458,5a9a6f5f35237b000112920f,RETURNED,54:00.1,,3018059.405,52,424,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf0fb569738f2db99a4c27,5ea4a34e4085724768be21a7,RETURNED,55:01.5,,3017997.927,21,112,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf0fe6ba192e12eb11db7a,5eb022f221139b0741473e91,RETURNED,02:53.2,,3017526.254,32,46,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
