Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1595435844003,22/07/2020 16:37:24,1595435843809,-4,22/07/2020 12:37:23,21654,4,questionnaire-t1fh,,6198126,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1366x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,BEGIN QUESTIONNAIRE,
2,1595435876434,22/07/2020 16:37:56,1595435876308,-4,22/07/2020 12:37:56,21654,4,questionnaire-t1fh,,6198126,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent,Yes
3,1595435876638,22/07/2020 16:37:56,1595435876314,-4,22/07/2020 12:37:56,21654,4,questionnaire-t1fh,,6198126,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent-quantised,1
4,1595435876638,22/07/2020 16:37:56,1595435876315,-4,22/07/2020 12:37:56,21654,4,questionnaire-t1fh,,6198126,5c1a89862a85450001a878b3,1748695,,complete,,5f186b294cc2d0032be9a1ba,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,END QUESTIONNAIRE,32506
1,1595437126237,22/07/2020 16:58:46,1595437126537,-7,22/07/2020 09:58:46,21654,4,questionnaire-t1fh,,6198512,5f127dfdebc35e072317bc00,1748874,,complete,,5f18700aa9ff9c03d6cf7926,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1280x720,1280x610,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595437175340,22/07/2020 16:59:35,1595437175697,-7,22/07/2020 09:59:35,21654,4,questionnaire-t1fh,,6198512,5f127dfdebc35e072317bc00,1748874,,complete,,5f18700aa9ff9c03d6cf7926,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1280x720,1263x610,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
3,1595437175668,22/07/2020 16:59:35,1595437175698,-7,22/07/2020 09:59:35,21654,4,questionnaire-t1fh,,6198512,5f127dfdebc35e072317bc00,1748874,,complete,,5f18700aa9ff9c03d6cf7926,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1280x720,1263x610,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent-quantised,1
4,1595437175668,22/07/2020 16:59:35,1595437175698,-7,22/07/2020 09:59:35,21654,4,questionnaire-t1fh,,6198512,5f127dfdebc35e072317bc00,1748874,,complete,,5f18700aa9ff9c03d6cf7926,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1280x720,1263x610,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,END QUESTIONNAIRE,49161
1,1595437573410,22/07/2020 17:06:13,1595437593023,-5,22/07/2020 12:06:33,21654,4,questionnaire-t1fh,,6198820,5efaf27f77b31b000b6a2f04,1748968,,complete,,5f1871f6943da504cd16b313,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1536x722,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,BEGIN QUESTIONNAIRE,
2,1595437615909,22/07/2020 17:06:55,1595437635589,-5,22/07/2020 12:07:15,21654,4,questionnaire-t1fh,,6198820,5efaf27f77b31b000b6a2f04,1748968,,complete,,5f1871f6943da504cd16b313,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1519x722,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent,Yes
3,1595437616065,22/07/2020 17:06:56,1595437635591,-5,22/07/2020 12:07:15,21654,4,questionnaire-t1fh,,6198820,5efaf27f77b31b000b6a2f04,1748968,,complete,,5f1871f6943da504cd16b313,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1519x722,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent-quantised,1
4,1595437616065,22/07/2020 17:06:56,1595437635591,-5,22/07/2020 12:07:15,21654,4,questionnaire-t1fh,,6198820,5efaf27f77b31b000b6a2f04,1748968,,complete,,5f1871f6943da504cd16b313,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1536x864,1519x722,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,END QUESTIONNAIRE,42568
1,1595437650273,22/07/2020 17:07:30,1595437648578,-7,22/07/2020 10:07:28,21654,4,questionnaire-t1fh,,6198867,5f0623423153881574a46544,1748978,,complete,,5f18723c67e59b0317a4fee2,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1366x768,1292x666,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595437667376,22/07/2020 17:07:47,1595437665655,-7,22/07/2020 10:07:45,21654,4,questionnaire-t1fh,,6198867,5f0623423153881574a46544,1748978,,complete,,5f18723c67e59b0317a4fee2,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1366x768,1275x666,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
3,1595437667595,22/07/2020 17:07:47,1595437665660,-7,22/07/2020 10:07:45,21654,4,questionnaire-t1fh,,6198867,5f0623423153881574a46544,1748978,,complete,,5f18723c67e59b0317a4fee2,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1366x768,1275x666,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent-quantised,1
4,1595437667595,22/07/2020 17:07:47,1595437665660,-7,22/07/2020 10:07:45,21654,4,questionnaire-t1fh,,6198867,5f0623423153881574a46544,1748978,,complete,,5f18723c67e59b0317a4fee2,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1366x768,1275x666,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,END QUESTIONNAIRE,17082
1,1595437723557,22/07/2020 17:08:43,1595437723417,-5,22/07/2020 12:08:43,21654,4,questionnaire-t1fh,,6198928,5cd9f46ebceff20001c43e2f,1748992,,complete,,5f18721249f1df03eb2373c8,tablet,Apple iPad,iOS 13.4,Chrome 83.0.4103.88,768x1024,768x909,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595437800470,22/07/2020 17:10:00,1595437800319,-5,22/07/2020 12:10:00,21654,4,questionnaire-t1fh,,6198928,5cd9f46ebceff20001c43e2f,1748992,,complete,,5f18721249f1df03eb2373c8,tablet,Apple iPad,iOS 13.4,Chrome 83.0.4103.88,768x1024,768x909,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
3,1595437800674,22/07/2020 17:10:00,1595437800322,-5,22/07/2020 12:10:00,21654,4,questionnaire-t1fh,,6198928,5cd9f46ebceff20001c43e2f,1748992,,complete,,5f18721249f1df03eb2373c8,tablet,Apple iPad,iOS 13.4,Chrome 83.0.4103.88,768x1024,768x909,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent-quantised,1
4,1595437800674,22/07/2020 17:10:00,1595437800322,-5,22/07/2020 12:10:00,21654,4,questionnaire-t1fh,,6198928,5cd9f46ebceff20001c43e2f,1748992,,complete,,5f18721249f1df03eb2373c8,tablet,Apple iPad,iOS 13.4,Chrome 83.0.4103.88,768x1024,768x909,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,END QUESTIONNAIRE,76905
1,1595437925222,22/07/2020 17:12:05,1595437925107,-4,22/07/2020 13:12:05,21654,4,questionnaire-t1fh,,6199054,5ec7fea63ef2412a6490af23,1749012,,complete,,5f18735f67ef6b0473ba2c20,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1536x754,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,BEGIN QUESTIONNAIRE,
2,1595437936551,22/07/2020 17:12:16,1595437936499,-4,22/07/2020 13:12:16,21654,4,questionnaire-t1fh,,6199054,5ec7fea63ef2412a6490af23,1749012,,complete,,5f18735f67ef6b0473ba2c20,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x754,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent,Yes
3,1595437936676,22/07/2020 17:12:16,1595437936500,-4,22/07/2020 13:12:16,21654,4,questionnaire-t1fh,,6199054,5ec7fea63ef2412a6490af23,1749012,,complete,,5f18735f67ef6b0473ba2c20,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x754,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent-quantised,1
4,1595437936676,22/07/2020 17:12:16,1595437936501,-4,22/07/2020 13:12:16,21654,4,questionnaire-t1fh,,6199054,5ec7fea63ef2412a6490af23,1749012,,complete,,5f18735f67ef6b0473ba2c20,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x754,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,END QUESTIONNAIRE,11394
1,1595438053355,22/07/2020 17:14:13,1595438053177,-4,22/07/2020 13:14:13,21654,4,questionnaire-t1fh,,6199107,5b74ffcc0da9660001482d22,1749026,,complete,,5f1873aaa467d10455527660,computer,Desktop or Laptop,Mac OS 10.15,Firefox 77.0,1440x900,1395x783,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,BEGIN QUESTIONNAIRE,
2,1595438095251,22/07/2020 17:14:55,1595438095171,-4,22/07/2020 13:14:55,21654,4,questionnaire-t1fh,,6199107,5b74ffcc0da9660001482d22,1749026,,complete,,5f1873aaa467d10455527660,computer,Desktop or Laptop,Mac OS 10.15,Firefox 77.0,1440x900,1395x783,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent,Yes
3,1595438095515,22/07/2020 17:14:55,1595438095173,-4,22/07/2020 13:14:55,21654,4,questionnaire-t1fh,,6199107,5b74ffcc0da9660001482d22,1749026,,complete,,5f1873aaa467d10455527660,computer,Desktop or Laptop,Mac OS 10.15,Firefox 77.0,1440x900,1395x783,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,consent-quantised,1
4,1595438095515,22/07/2020 17:14:55,1595438095173,-4,22/07/2020 13:14:55,21654,4,questionnaire-t1fh,,6199107,5b74ffcc0da9660001482d22,1749026,,complete,,5f1873aaa467d10455527660,computer,Desktop or Laptop,Mac OS 10.15,Firefox 77.0,1440x900,1395x783,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb2,END QUESTIONNAIRE,41996
1,1595438125072,22/07/2020 17:15:25,1595438124878,-4,22/07/2020 13:15:24,21654,4,questionnaire-t1fh,,6199134,5ec95d6531addc45332e67a7,1749031,,complete,,5f18740edc2c1103c518297c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x625,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,BEGIN QUESTIONNAIRE,
2,1595438325894,22/07/2020 17:18:45,1595438325795,-4,22/07/2020 13:18:45,21654,4,questionnaire-t1fh,,6199134,5ec95d6531addc45332e67a7,1749031,,complete,,5f18740edc2c1103c518297c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x625,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,consent,Yes
3,1595438326129,22/07/2020 17:18:46,1595438325800,-4,22/07/2020 13:18:45,21654,4,questionnaire-t1fh,,6199134,5ec95d6531addc45332e67a7,1749031,,complete,,5f18740edc2c1103c518297c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x625,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,consent-quantised,1
4,1595438326129,22/07/2020 17:18:46,1595438325801,-4,22/07/2020 13:18:45,21654,4,questionnaire-t1fh,,6199134,5ec95d6531addc45332e67a7,1749031,,complete,,5f18740edc2c1103c518297c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x625,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Fail,Pass,Pass,,cb2,END QUESTIONNAIRE,200923
1,1595438290564,22/07/2020 17:18:10,1595438291456,-5,22/07/2020 12:18:11,21654,4,questionnaire-t1fh,,6199211,5cecb84b41b4310018eb2644,1749051,,complete,,5f18746973fb6304ad5b93ca,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x937,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,BEGIN QUESTIONNAIRE,
2,1595438391202,22/07/2020 17:19:51,1595438392121,-5,22/07/2020 12:19:52,21654,4,questionnaire-t1fh,,6199211,5cecb84b41b4310018eb2644,1749051,,complete,,5f18746973fb6304ad5b93ca,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1903x937,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent,Yes
3,1595438391344,22/07/2020 17:19:51,1595438392123,-5,22/07/2020 12:19:52,21654,4,questionnaire-t1fh,,6199211,5cecb84b41b4310018eb2644,1749051,,complete,,5f18746973fb6304ad5b93ca,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1903x937,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,cb1,consent-quantised,1
