session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5f186b294cc2d0032be9a1ba,5c1a89862a85450001a878b3,APPROVED,37:01.5,16:04.5,2342.994,21,669,1,100,01:39.1,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5f18700aa9ff9c03d6cf7926,5f127dfdebc35e072317bc00,APPROVED,58:34.3,36:01.1,2246.707,19,11,0,100,01:41.4,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f1871f6943da504cd16b313,5efaf27f77b31b000b6a2f04,APPROVED,06:06.3,46:26.6,2420.289,21,36,0,100,01:43.4,5DFE8175,United States,United States,Due to start a new job within the next month,I only know English,English,No,none,United States,Male,Yes,Yes
5f18721249f1df03eb2373c8,5cd9f46ebceff20001c43e2f,APPROVED,08:26.8,46:54.3,5907.53,23,31,1,98,01:45.4,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5f18723339bacf0413278c26,5eea9fcf1710c71b65e11bb6,RETURNED,07:03.6,,99378.49729,28,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f18723c67e59b0317a4fee2,5f0623423153881574a46544,APPROVED,07:16.2,46:20.2,2344.007,32,13,0,100,01:47.4,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f187243325f400444c78695,585dd349445a5f00019b3b7c,RETURNED,07:21.8,,99360.33708,28,165,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f18735f67ef6b0473ba2c20,5ec7fea63ef2412a6490af23,APPROVED,11:59.0,47:05.4,2106.373,18,45,0,100,01:49.6,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5f187369de6ae703dc59de20,5ae21dfffef71c0001be9caf,TIMED-OUT,12:12.2,,99070.01394,31,226,1,100,,,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f1873aaa467d10455527660,5b74ffcc0da9660001482d22,APPROVED,13:59.5,51:18.3,2238.809,22,14,0,100,01:51.7,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Male,Yes,Yes
5f18740edc2c1103c518297c,5ec95d6531addc45332e67a7,APPROVED,14:59.9,06:52.7,3112.746,30,56,0,100,01:54.2,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Male,No,Yes
5f187422ca444d037f50350e,5efa825723d048196eff3cef,RETURNED,25:14.8,,98287.43691,25,24,1,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f18746973fb6304ad5b93ca,5cecb84b41b4310018eb2644,APPROVED,17:48.3,56:47.8,2339.499,20,476,0,100,01:56.4,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,Yes,Yes
5f1874b5442b880371550897,5ef14bb31a0ed51490300e43,RETURNED,28:00.1,,98122.24332,23,61,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f18753f61f0b004b346a52c,5e42cd8ba3b8cc1602e23371,APPROVED,20:35.1,03:49.4,2594.316,26,175,0,100,01:58.4,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5f1875cf37780904491c3a25,5c2fa90669d78200010623e8,APPROVED,22:58.8,01:31.0,2312.258,29,273,0,100,02:00.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f187645c6d1a005065838bd,5f1260fdcb01870bb1dfa562,APPROVED,24:32.7,50:03.8,1531.104,19,7,0,100,02:02.6,NOCODE,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f18769e7dae94049713e9db,5c05e4d129abc00001999291,APPROVED,32:53.6,05:04.5,5530.97,25,329,1,100,02:04.8,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,No,Yes
5f1876b5e0ec5303f827c3e2,5d8c46cc53b833001a4bf916,APPROVED,27:08.8,07:58.1,2449.29,19,214,0,100,02:06.7,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Female,Yes,Yes
5f1876e6144e4f044c44dc70,5eebd430d1798f1761ac4103,RETURNED,27:16.5,,98165.98637,24,37,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f1877387f5fb304a1154bc5,5f0763da47bd2b3561e8d085,APPROVED,28:39.4,07:12.0,2312.606,23,19,0,100,02:08.7,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f1877686816a004b5b4b6bf,5f05ece827813a0da11cd397,APPROVED,34:41.2,17:56.2,2594.999,18,25,1,99,02:10.8,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Male,Yes,Yes
5f18777467d65303d5a85dbd,5d193f10b3e698001cea9014,RETURNED,39:24.3,,97438.19523,19,197,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f1877ea8c02f3039525c335,58d81a5cac73bd0001341e1f,APPROVED,31:26.1,13:27.5,2521.373,22,321,1,100,02:12.8,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Male,Yes,Yes
5f187816d0c4d2055dc6da94,5f09cb8a0238fd25d6d59099,APPROVED,33:32.7,22:26.5,2933.814,27,23,0,100,02:14.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f18783cffa43a04398ead9b,5ed000b32b32890b00a1b61c,APPROVED,37:12.7,13:12.2,2159.565,24,85,0,100,02:16.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f1878873fccc005ba8663fb,5f163626e9b14f1bfccf2b67,RETURNED,33:59.2,,97763.31162,20,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f187892e0b66b05ecee548d,5e9d0efdf925dd23cf31c877,TIMED-OUT,34:17.3,,97745.27568,26,56,1,99,,,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5f1878c8f6457506099f0b55,5b9f16c0962418000113290a,APPROVED,35:13.9,30:41.3,3327.363,25,295,2,100,02:19.0,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f1878e5f6457505a59e732e,5b298f3c007d870001c81bea,APPROVED,35:43.1,13:15.6,2252.462,31,166,1,100,02:21.1,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5f1878f2dfcb1604bcbe6845,5e7262299af97605a7e4a911,APPROVED,35:51.7,15:13.9,2362.244,23,37,0,100,02:23.2,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f1878fb91e8f504e01fea68,5ebe350556b9d91904d19bf4,APPROVED,35:57.1,15:22.0,2364.983,19,134,1,100,02:25.3,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,Yes,Yes
5f1879c23fccc005643aaed9,5f121ae4bdfb6c14eb41d81c,APPROVED,39:34.0,20:51.6,2477.538,18,14,0,100,02:27.7,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f187a097fd93705dd257d28,5f0a271d62282e0e0e54d4fe,RETURNED,40:41.8,,97360.94452,23,25,1,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f187ad85ed5cf05003ae882,5e153f25dc79bdb5290738bd,APPROVED,52:10.0,41:38.5,2968.439,20,180,0,100,02:29.6,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f187b1fe0b66b063e66186b,5f0df6c9b64b5107b88cbd4b,APPROVED,45:03.7,20:53.8,2150.108,21,8,0,100,02:31.6,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f187b27376573050828009a,5f00d545c6d8de20533777a1,APPROVED,45:55.9,26:47.6,2451.654,19,40,0,100,02:32.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,Chinese,No,none,United States,Female,Yes,Yes
5f187b32fc0e9c05156b8043,5f16375eafd70a798c33db08,APPROVED,45:26.2,25:10.9,2384.719,19,10,1,87,02:34.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,Yes,Yes
5f187b4649d5e706550f3b79,5d1e5e30a043ee0019453932,APPROVED,45:42.8,05:49.7,4806.888,32,391,1,100,02:36.8,5DFE8175,Belgium,United States,Part-Time,I only know English,French,No,none,United States,Male,Yes,Yes
5f187b563f343a05b516dfd3,5ef0fb1446d50e6bd601c322,APPROVED,45:58.7,24:04.9,2286.131,20,41,0,100,02:38.8,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f187b5fd1fe880376d9aba9,5efa4215e40a3d124e70b7c3,APPROVED,50:21.5,27:29.5,2227.992,33,43,0,100,02:40.8,5DFE8175,United States,,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Male,No,Yes
5f187b7637657304622645d0,5f1255070e72001a08c52f3f,APPROVED,48:02.0,25:08.5,2226.442,18,12,0,100,02:42.8,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5f187b7f56c78e04e15e847b,5ebf3e1805ecae187d06e6c1,APPROVED,50:33.0,28:58.3,2305.332,22,111,0,100,02:44.9,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f187b9b1b9bc00613b8ca37,5c55c1770ffce50001b34c56,APPROVED,47:37.2,28:14.8,2437.632,21,60,0,100,02:46.9,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Female,Yes,Yes
5f187ba7783ac90565e7e24c,5e8ec42c289cb600081621cd,RETURNED,47:23.7,,96959.43373,31,215,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
