a,23073,x
aback,2,xbAk
abandon,2,xbAndIn
abandon,47,xbAndIn
abate,1,xbet
abbey,7,Abi
abbot,2,Abxt
abbreviate,1,xbriviet
abbreviation,2,xbrivieSIn
abdomen,6,Abdxmxn
abdominal,4,AbdamxnL
abduction,1,AbdQkSxn
abed,1,xbEd
aberrant,5,AbErxnt
aberration,9,AbReSIn
abet,4,xbEt
abeyance,3,xbexns
abhor,1,xbhcr
abhorrent,1,Abhcrxnt
abide,14,xbYd
ability,87,xbIlIti
abject,3,AbJEkt
abjection,1,AbJEkSIn
abjectly,1,AbJEktli
ablate,1,Ablet
ablation,2,AbleSxn
ablaze,3,xblez
able,217,ebL
ably,2,ebli
abnormal,3,AbncrmL
abnormality,1,AbncrmAlIti
abnormally,1,AbncrmLi
aboard,8,xbord
aboard,17,xbord
abode,4,xbod
abolish,10,xbalIS
abolition,10,AbxlISIn
abolitionist,5,AbxlISInIst
aboriginal,1,AbRIJInL
aborigine,15,AbRIJIni
abortion,7,xbcrSIn
abortive,3,xbcrtIv
abound,5,xbWnd
about,574,xbWt
above,188,xbQv
above,22,xbQv
above,86,xbQv
aboveground,3,xbQvgrWnd
abreaction,2,AbriAkSxn
abreast,5,xbrEst
abridge,1,xbrIJ
abridgment,1,xbrIJmxnt
abroad,52,xbrcd
abrogate,1,Abrxget
abrupt,18,xbrQpt
abruptly,18,xbrQptli
abscess,3,AbsEs
abscissa,1,AbsIsx
absence,56,AbsIns
absent,26,AbsInt
absent,3,AbsInt
absentee,1,AbsInti
absently,6,Absxntli
absinthe,1,AbsInT
absolute,29,Absxlut
absolute,4,Absxlut
absolutely,17,Absxlutli
absolutely,10,Absxlutli
absolution,2,AbsxluSIn
absorb,41,xbscrb
absorber,1,AbscrbR
absorption,14,AbscrpSxn
abstain,2,xbsten
abstention,5,AbstEnSxn
abstinence,1,AbstInIns
abstract,30,AbstrAkt
abstract,5,AbstrAkt
abstract,9,AbstrAkt
abstractedness,1,AbstrAktIdnEs
abstraction,23,AbstrAkSIn
abstractionism,1,AbstrAkSxnIzxm
abstractive,1,AbstrAktIv
absurd,17,xbsRd
absurdity,10,AbsRdIti
absurdly,1,AbsRdli
abundance,13,xbQndxns
abundant,9,xbQndInt
abundantly,2,xbQndxntli
abuse,22,xbyuz
abuse,8,xbyuz
abusive,1,xbyusIv
abysmal,2,xbIzmL
abyss,4,xbIs
acacia,3,xkeSx
academic,53,AkIdEmIk
academic,5,AkIdEmIk
academically,5,AkxdEmIkLli
academy,28,xkAdxmi
accede,2,Aksid
accelerate,24,AksElRet
acceleration,19,AksElxreSxn
accelerator,8,AksElxretR
accelerometer,25,AksElxramItR
accent,14,AksEnt
accent,3,AksEnt
accentual,1,AksEnCuL
accentuate,5,AksEnCuet
accept,193,AksEpt
acceptable,21,AksEptxbL
acceptance,49,AksEptIns
access,25,AksEs
accessible,5,AksEsIbL
accession,1,aksESIn
accessory,8,AksEsRi
accident,41,AksIdInt
accidental,9,AksxdEntL
accidentally,6,AksIdEntLli
acclaim,4,xklem
acclaim,5,xklem
acclamation,1,AklxmeSIn
acclimatize,1,xklYmxtYz
accolade,3,Akxled
accommodate,19,xkamxdet
accommodation,10,xkamxdeSIn
accompaniment,11,xkQmpxnimxnt
accompanist,2,xkQmpxnIst
accompany,63,xkQmpxni
accomplice,3,xkamplxs
accomplish,71,xkamplIS
accomplished,1,xkamplISt
accomplishment,17,xkamplISmEnt
accord,7,xkcrd
accord,9,xkcrd
accordance,20,xkcrdNs
according,128,xkcrdIG
according,10,xkcrdIG
accordingly,31,xkcrdIGli
accordion,1,xkcrdixn
accost,3,xkcst
account,120,xkWnt
account,49,xkWnt
accountable,1,xkWntxbL
accountant,3,xkWntNt
accounting,4,xkWntIG
accredit,2,xkrEdIt
accretion,5,xkriSIn
accrue,11,xkru
acculturation,1,xkQlCReSIn
accumulate,18,xkyumyUlet
accumulation,11,xkyumyxleSxn
accuracy,36,AkyRxsi
accurate,35,AkyRIt
accurately,24,AkyRItli
accusation,6,AkyuzeSIn
accuse,45,xkyuz
accustom,15,xkQstxm
ace,19,es
acetate,7,Asxtet
acetone,4,Asxton
ache,3,ek
ache,11,ek
achieve,133,xCiv
achievement,84,xCivmxnt
acid,3,AsId
acid,17,AsId
acidity,1,xsIdIti
acidulous,1,xsIJUlxs
acknowledge,27,AknalIJ
acknowledgment,5,AknalIJmxnt
acolyte,1,AkxlYt
acorn,1,ekcrn
acoustic,1,xkustIk
acoustics,1,xkustIks
acquaint,15,xkwent
acquaintance,9,xkwentxns
acquiesce,4,AkwiEs
acquiescence,6,AkwiEsxns
acquire,66,xkwYr
acquisition,20,AkwxzISIn
acquisitiveness,1,xkwIzItIvnEs
acquit,2,xkwIt
acquittal,2,xkwItL
acre,54,ekR
acreage,11,ekRIJ
acrid,1,Akrxd
acrobat,1,AkrxbAt
acrobatic,2,AkrxbAtIk
acrobatics,1,AkrxbAtIks
across,24,xkrcs
acrylic,11,xkrIlIk
act,237,Akt
act,159,Akt
acting,5,AktIG
actinometer,1,AktxnamItR
action,359,AkSIn
activate,8,AktIvet
active,88,AktIv
active,8,AktIv
actively,1,AktIvli
actively,11,AktIvli
activism,2,AktxvIzxm
activity,231,AktIvxti
actor,40,AktR
actress,9,AktrIs
actual,99,AkCuL
actuality,10,AkCuAlIti
actually,1,AkCuLi
actually,165,AkCuLi
actuarial,1,AkCuEriL
actuarially,1,AkCuAriLli
actuate,3,AkCuet
acumen,1,xkyumxn
acute,13,xkyut
acutely,3,xkyutli
acutely,2,xkyutli
ad,14,Ad
adage,3,AdIJ
adagio,4,xdaJio
adamant,5,Adxmxnt
adapt,20,xdApt
adaptable,2,xdAptxbL
adaptation,17,AdApteSIn
adapter,3,xdAptR
add,291,Ad
addict,5,AdIkt
addict,3,AdIkt
addiction,3,xdIkSIn
addition,151,xdISIn
additional,120,xdISInL
additive,7,AdItIv
address,86,AdrEs
address,40,AdrEs
addressee,1,AdrEsi
adduce,1,xdus
adept,4,xdEpt
adequacy,3,Adxkwxsi
adequate,66,AdIkwIt
adequately,2,AdxkwItli
adequately,14,AdxkwItli
adhere,10,AdhIr
adherence,9,AdhIrxns
adherent,1,AdhIrxnt
adherent,6,AdhIrxnt
adhesion,2,AdhiZIn
adhesive,2,AdhisIv
adhesive,6,AdhisIv
adjacent,12,xJesNt
adjectival,3,AJIktYvL
adjective,6,AJIktIv
adjoin,17,xJOn
adjourn,4,xJRn
adjournment,4,xJRnmxnt
adjudge,2,xJQJ
adjudicate,1,xJudIket
adjudication,4,xJudIkeSIn
adjunct,7,AJQGkt
adjust,62,xJQst
adjustment,55,xJQstmxnt
administer,22,xdmInIstR
administration,169,AdmInIstreSxn
administrative,53,xdmInIstretIv
administratively,1,AdmInIstretIvli
administrator,20,xdmInIstretR
admirable,10,AdmRxbL
admiral,1,AdmRL
admiralty,1,AdmRLti
admiration,10,AdmReSIn
admire,32,xdmYr
admirer,5,AdmYrR
admissible,9,xdmIsxbL
admission,36,xdmISIn
admit,91,xdmIt
admittance,1,xdmItNs
admittedly,3,AdmItIdli
admix,1,AdmIks
admonish,3,AdmanIS
admonition,4,AdmxnISIn
ado,4,xdu
adobe,2,xdobi
adolescence,18,AdxlEsNs
adolescent,3,AdLEsxnt
adolescent,19,AdLEsxnt
adopt,71,xdapt
adorable,3,xdorxbL
adore,5,xdor
adorn,3,xdcrn
adrenal,1,xdrinL
adrenal,1,xdrinL
adrift,1,xdrIft
adroit,1,xdrOt
adroitness,1,xdrOtnEs
adsorb,4,Adscrb
adulation,1,AJIleSIn
adult,1,xdQlt
adult,47,xdQlt
adulterate,1,xdQltRet
adulterous,1,xdQltRxs
adultery,3,xdQltRi
adulthood,3,xdQlthUd
advance,1,AdvAns
advance,60,AdvAns
advance,71,AdvAns
advanced,2,AdvAnst
advancement,11,AdvAnsmxnt
advantage,101,AdvAntIJ
advantageous,5,AdvAnteJIs
advantageously,1,AdvxnteJxsli
